variable.ID,variable.type,variable.name,units,description,extended.description,equations,requires.allometry,requires.min.dbh,requires.depth,associated.covariate_1,associated.covariate_2,provide.to.IPCC,IPCC.C_pool,IPCC.Unit_(ID),Type of Parameter (ID),Equation,Equation_questioned,IPCC Worksheet Number,IPCC.notes,review.notes
133,stock,soil_C,Mg C ha-1,Soil Organic Carbon (soil_C),Soil organic carbon to specified depth in mineral soil.,NA,0,0,1,NA,NA,1,Soil organic matter - mineral soils [SOM mineral] (OMM),tonnes C/ha (274),Other [e.g. Compiled] (3),Equations 2.25,,,IPCC default is 30cm depth,
134,secondary,stand.density,n ha-1,Stand density,,NA,0,1,0,stem.level,NA,0,,,,,,,ancillary info for biomass density variable,
135,secondary,LAI,m2 leaf m-2 ground,LAI: leaf area index (m2/m2),,NA,0,0,0,NA,NA,0,,,,,,,ancillary info for biomass density variable,
136,secondary,leaf_pC,%,Leaf Percent C,,NA,0,0,0,NA,NA,0,,,,,,,,
137,secondary,leaf_C2N,ratio,C:N ratio in leaves,,NA,0,0,0,NA,NA,0,,,,,,,,
138,secondary,leaf_pN,%,Leaf Percent Nitrogen,,NA,0,0,0,NA,NA,0,,,,,,,,
139,secondary,foliage_pN,Mg ha-1,Accumulation of foliage N of stand,,NA,0,0,0,NA,NA,0,,,,,,,,
140,secondary,leaf_pCa,%,Foliar calcium concentration,,NA,0,0,0,NA,NA,0,,,,,,,,
141,secondary,leaf_pK,%,Foliar K concentration,,NA,0,0,0,NA,NA,0,,,,,,,,
142,secondary,leaf_pMg,%,Foliar magnesium concentration,,NA,0,0,0,NA,NA,0,,,,,,,,
143,secondary,leaf_pP,%,Foliar P concentration,,NA,0,0,0,NA,NA,0,,,,,,,,
144,secondary,stem_pC,%,C concentration in stems,,NA,0,0,0,NA,NA,1,,,,"Equations 2.7, 2.8, 2.9, 2.10, 2.11, 2.12, 2.13, 2.14, 2.16, 2.21, 2,22",,,,
145,secondary,stem_pN,%,Nitrogen in stem,,NA,0,0,0,NA,NA,0,,,,,,,,
146,secondary,root_pN,%,Percent N in belowground live tissue,,NA,0,0,0,NA,NA,0,,,,,,,,
147,secondary,root_pC,%,Percent C in belowground live tissue,,NA,0,0,0,NA,NA,0,,,,,,,,
148,secondary,soil_pC,%,Percent soil carbon content,,NA,0,0,1,NA,NA,0,,,,,,,,
149,secondary,soil_C2N,ratio,C:N ratio in soil,,NA,0,0,1,NA,NA,0,,,,Equation 11.8,,,,
150,secondary,N.mineralization,Kg N ha-1 yr-1,Net N mineralization,,NA,NA,NA,NA,NA,NA,0,,,,,,,relevant when associated with a land use/management change,
151,covariates,max.diameter,cm,"Maximum diameter of tree part being measured (stem, woody debris)",,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
152,covariates,min.diameter,cm,"Minimum diameter of tree part being measured (stem, woody debris)",,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
153,covariates,max.diameter_branch,cm,Maximum branch diameter,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
154,covariates,min.diameter_branch,cm,Minimum branch diameter,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
155,covariates,max.diameter_twig,cm,Maximum twig diameter,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
156,covariates,max.diameter_root,mm,Maximum root diameter,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
157,covariates,min.diameter_root,mm,Minimum root diameter,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
158,covariates,min.diameter_liana,cm,Minimum diameter of lianas censused,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
159,covariates,min.height,cm,Minimum height,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
160,covariates,min.length,cm,Minimum length,,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
161,covariates,u.star,m s-1,Friction velocity,,NA,NA,NA,NA,NA,NA,0,,,,,,,,
162,covariates,stem.level,NA,"Indicates whether the variable is computed at the individual tree (0; e.g., only counts mortality if all stems of a multi-stemmed individual die) or stem (1; e.g., counts stem mortality when the individual tree remains alive) level.",,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
163,covariates,include.recruitment,NA,Indicates whether recruitment is counted as part of ANPP_woody_stem (0-no; 1-yes),,NA,NA,NA,NA,NA,NA,1,,,,,,,ancillary info ,
